level1,level2,level3,level4
Endothelial Cell,,,
Fibroblast,,,
Hemocytoblast (Hematopoietic Stem Cell),Lymphoid Progenitor,B Cell,
Hemocytoblast (Hematopoietic Stem Cell),Lymphoid Progenitor,Dendritic Cell (Plasmacytoid),
Hemocytoblast (Hematopoietic Stem Cell),Lymphoid Progenitor,Natural Killer Cell,
Hemocytoblast (Hematopoietic Stem Cell),Lymphoid Progenitor,T Cell,Regulatory T Cell (Treg)
Hemocytoblast (Hematopoietic Stem Cell),Lymphoid Progenitor,T Cell,T Cell (CD4)
Hemocytoblast (Hematopoietic Stem Cell),Lymphoid Progenitor,T Cell,T Cell (CD8)
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Dendritic Cell (Conventional),
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Erythrocyte,
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Mast Cell,
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Megakaryocyte,
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Monocyte,Macrophage
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Myeloblast,Basophil
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Myeloblast,Eosinophil
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Myeloblast,Neutrophil
Hemocytoblast (Hematopoietic Stem Cell),Myeloid Progenitor,Myeloid-Derived Suppressor Cell,
Luminal Progenitor,Mature Luminal Cell,,
Mesenchymal Stem Cell,,,
Myoepithelial Cell,,,
Myofibroblast,,,
